Data,JzCode,FullName,TableColumns
jz_futures_tick_2010,JZ1000001,2010 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2011,JZ1000002,2011 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2012,JZ1000003,2012 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2013,JZ1000004,2013 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2014,JZ1000005,2014 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2015,JZ1000006,2015 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2016,JZ1000007,2016 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2017,JZ1000008,2017 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2018,JZ1000009,2018 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
jz_futures_tick_2019,JZ1000010,2019 期货tick数据,"Code,ContractCode,Exchange,ContractType,TradeDate,TradeTime,LevelType,LastPrice,LastVolume,OpenPrice,HighPrice,LowPrice,UpperLimitPrice,LowerLimitPrice,ClosePrice,PreClosePrice,Turnover,TradeNumber,OpenInterest,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,ClearingDay,TradeStatus,UpdateMilliSec"
